ng,f,power
-5.354513674153227321e-02,3.703478755490552943e-01,1.200383926628740133e-01
-2.392562779181448551e-01,8.861751924708158312e-03,4.922561228562169489e-01
-2.580173662378345556e-01,-1.610867120378922657e-02,3.798912268949046767e-01
3.348770389309636553e-01,-2.050123368181069883e-01,1.494808452438024793e-01
-3.817307947083629083e-01,-3.257536368500849044e-01,3.190249909191300026e-01
-3.902530252891980300e-01,-3.360179191605853766e-01,1.051396516608733428e-01
-1.629701893420987258e-02,3.596821949271439833e-01,6.424103390685860226e-01
2.631912284795607793e-01,-3.436505046873346292e-02,6.969524913103721797e-01
-2.851749194514126007e-01,-1.251011914131497371e-01,3.857625504583315212e-01
3.973318996671532100e-01,-3.234744242129003466e-01,1.231815356493467239e-01
3.374402828965588075e-01,-2.558371271173185968e-01,3.256349834622317418e-01
3.115498471568688421e-01,-1.146598145758843668e-01,4.253205754717070963e-02
-4.706950309878308314e-01,-4.360818222248005749e-01,6.893612728728282235e-01
-3.582105408235750632e-01,-2.615974283130153566e-01,8.062848507062064796e-02
-1.770239859260919202e-01,1.587257668552175538e-01,3.882946256373875915e-01
3.926699565571026840e-01,-2.958182598969070209e-01,2.426155381364349106e-01
2.696909659466374398e-01,-7.468738984752226751e-02,1.667732543244684618e-01
4.431807266203604545e-01,-4.183022506030184551e-01,4.599111479549088943e-01
4.158923640787337561e-01,-3.638486734310613091e-01,2.106464471768806079e-01
3.472077657857430832e-02,4.344823483655836371e-01,6.421266451496414618e-01
1.811683492174291921e-01,1.355016742149411924e-01,3.017034996343152808e-02
-9.351820477105921015e-04,3.609176356779211226e-01,2.168653400371917672e-01
1.273068225548658061e-01,2.654163792603673744e-01,5.146325447003150533e-01
2.289642758197016903e-01,2.218846247549059042e-02,1.562090013192705684e-01
-1.173226688140915908e-01,2.688806696412163189e-01,3.091518156458454569e-02
2.487477124904948766e-01,-2.247745235897815816e-02,5.671397065753286393e-01
4.175206786758302036e-01,-2.995049189933566836e-01,1.063789975744423993e-01
3.283730042448170794e-01,-1.958101676026456350e-01,3.964191156771153524e-01
1.344506906586407924e-01,2.981072492571452681e-01,6.312446549989069178e-01
1.161506707143332706e-01,3.296148761968580310e-01,2.458723487328691171e-01
2.572265053957383252e-01,1.839526435929888029e-02,2.783811559821871007e-01
2.973121198553363431e-01,-1.639600981738760788e-01,5.907955886661059308e-01
1.558446439122330718e-01,2.135221499290188840e-01,4.891768846092456879e-01
-3.868372331479358328e-01,-2.825311937189419753e-01,1.805363397582447627e-01
2.535961326122256887e-01,-4.835034990645463437e-02,6.915699719928770639e-01
-2.951053984092903981e-01,-8.353759104110153322e-02,6.596045506043659579e-01
3.866774895517998134e-01,-3.178012923702585035e-01,2.916479373466220881e-01
-1.168328352369174539e-02,3.538193152190251545e-01,2.616562478087949284e-01
-2.884106392355928472e-01,-1.043411151685961491e-01,1.494364584432163884e-02
-2.596066625853241661e-01,-2.137524789342620801e-02,2.233829113926798227e-01
1.423778893368004006e-01,2.263463836785796768e-01,3.508585710885617215e-01
8.418679776543913640e-02,3.748018617314815004e-01,5.837906670202125392e-01
-8.493969312680083039e-02,3.835119780180965554e-01,4.398071351363795900e-01
4.890359507330669375e-01,-3.914900863834048783e-01,5.939723438877999584e-01
2.755378233204751615e-01,-6.408532538921948851e-02,1.821630980136008104e-01
-9.214277353881061838e-02,3.369812301033919266e-01,1.848130979436179711e-01
4.968010249782339738e-01,-4.120722558970476568e-01,1.695253957600431349e-01
-3.281462569870831070e-01,-1.589303947964878228e-01,4.349939859746695947e-01
8.919497982892021781e-02,2.993234715567829607e-01,3.335863881644991480e-01
-1.828079402125295516e-01,1.351555901840346685e-01,5.784339000985790902e-01
-3.770650487642754900e-01,-2.692572859742863867e-01,5.770962294275399085e-01
4.796477363105587921e-01,-3.798954391537741060e-01,6.796646336205992567e-01
1.817678035013442495e-01,1.289919564918884931e-01,1.691092093004711583e-01
1.177954520839308294e-01,3.048943864576014739e-01,4.041767775751451963e-01
2.767053644714673188e-01,-1.118788752360231065e-01,2.303513619590781825e-01
-4.266317637633143534e-01,-3.555540879065998694e-01,2.958766022670334950e-01
4.543311128732361315e-01,-4.189375293307864845e-01,2.661498296628903582e-01
-3.238819519473160602e-01,-1.508039364276306527e-01,5.149327182724926510e-01
2.905795470806545877e-01,-1.257966536558037529e-01,1.496995748487650602e-01
-1.350551487742648327e-01,3.071473727664290054e-01,1.854118310117348067e-01
1.571507588117854182e-01,2.333010613021768709e-01,6.291624846079492128e-01
6.621953631741894775e-03,3.582040872191644132e-01,4.809017825184921380e-01
3.092249474971728862e-01,-1.398952017464220599e-01,6.521338094198524116e-02
-4.029990202080104833e-01,-3.044310089804691533e-01,3.812720751485509929e-01
-2.084454180165287163e-01,8.239780178761346718e-02,6.865934671836018133e-01
2.995755331675618027e-01,-1.101880691156270353e-01,4.920945746222273876e-01
-1.099117919439596136e-02,4.421304513255778779e-01,1.274681003820471725e-01
-1.120137439294961457e-01,2.608071148470690326e-01,3.838404083504708408e-01
6.857121964315537888e-02,3.781290509283645185e-01,3.508439188328422165e-01
8.913767792641913434e-02,3.207445082253601587e-01,6.730962384861350900e-01
-1.240806350191331342e-01,3.198619137014439562e-01,6.954569560160120956e-01
-1.510559285425328024e-01,2.729566121256271072e-01,1.705210066294939319e-01
-4.861680553287049955e-01,-4.018036577259428976e-01,5.208783082560830557e-01
-2.539863999720751719e-01,1.820267457940146633e-02,3.914570014851451729e-01
-3.460155662036372703e-01,-1.880483965941093794e-01,2.023370485020468956e-02
1.916863335793347334e-01,1.037863795122089539e-01,3.117796164076605536e-01
-8.662050066230075895e-02,3.486567217282453557e-01,4.202451213991841295e-01
2.969307526060445124e-01,-9.563627115616539498e-02,6.449641447930046789e-01
2.063326433221996936e-01,1.560407013346595539e-01,3.651261159700509018e-01
-2.748335652206272961e-01,-1.001200368919641231e-01,4.691095159419003124e-01
-4.297570890101132246e-02,4.131883323252550366e-01,3.631587538809468718e-01
4.420760183461514004e-02,3.378876112523749864e-01,3.468675198384008618e-01
3.121386138376449626e-01,-1.800232603438242374e-01,8.156540699421792329e-02
3.209345822573991258e-01,-2.222667079812089830e-01,3.384437130416066974e-01
-1.596395618806435435e-01,1.708199940370048187e-01,2.789283903720210511e-01
-1.087031474800730368e-01,2.885468930484845762e-01,6.497316894843365720e-01
3.393180675074772834e-01,-2.038928644747672325e-01,3.357856631246555201e-01
-4.066741832607040363e-01,-2.940952338156430645e-01,2.952526238147236137e-01
-4.006973924562888811e-01,-3.414188368023960418e-01,3.012049324877506540e-01
-1.442766645441085904e-01,2.422073547155862983e-01,6.797688788754334688e-01
2.273286865058423700e-01,8.180530247517928122e-02,1.513470203422219995e-01
-8.956898437943128233e-02,3.127944668405410189e-01,5.733120860574165700e-01
4.703012949431607526e-01,-3.818990113043868040e-01,5.046738254760449460e-02
2.536166640809722761e-01,-8.929695859044677053e-03,5.577113843591734454e-01
2.931591335341086069e-01,-7.345029832826116545e-02,6.992741021273453095e-01
-4.241939425696253929e-01,-3.310308830102119959e-01,6.247759380204994661e-01
-4.476857058034381387e-01,-4.280397290276027888e-01,2.583848691742474668e-01
4.547538795824485058e-01,-3.671953306132317851e-01,4.307125095295354922e-01
-3.277609661316830403e-01,-2.183134520012786628e-01,2.705140499493839390e-01
1.993353557804303788e-01,9.162215981897962880e-02,2.231606771781159126e-01
4.832180820921855302e-01,-4.029287671208436339e-01,3.487161502218715237e-01
2.061741507140885110e-01,7.167670233156925308e-02,2.921848238518124155e-02
-3.842693345560135310e-01,-3.417816278815633546e-01,2.584371874540820069e-01
-8.562275674028463346e-02,3.484225703538990082e-01,5.881764664839839174e-01
2.651371646757120226e-01,-2.167946283838657895e-03,4.585559601138040065e-01
-5.444253360799777841e-02,3.280027204971959209e-01,1.688740526153698629e-01
8.521918459798638601e-02,3.294736530946967834e-01,6.082107957238811480e-01
-2.908215562742455518e-04,3.837545411567790388e-01,6.088306277086467933e-02
-3.019037696476197796e-01,-1.415367940555866400e-01,4.005550079949999898e-01
1.859974574912512946e-01,1.500841553367645020e-01,4.282356610244923423e-01
2.511454964789596733e-01,-2.148278084209775257e-02,6.033339771717054489e-01
2.373992002492059106e-01,6.542547759267460655e-03,3.509436190919579257e-01
7.082494542089989853e-02,4.061377598722050175e-01,1.218200865674822081e-01
-2.389349576582912027e-01,5.888244761622143247e-02,2.232675454125490344e-01
2.336472784762759769e-01,8.660358746838653365e-02,2.055536934893226753e-01
1.862135371362978464e-01,1.992341913562741818e-01,1.099286484039454781e-01
-2.452570730427735546e-01,8.069475174407678836e-03,2.916522717619923766e-01
2.282816467479150679e-01,8.023983938449164022e-03,4.965617604057765422e-01
3.155298280352307749e-01,-1.115167619703193586e-01,3.445421441136063967e-01
2.679292831617228199e-01,-2.994928975520309844e-02,4.267180345281164078e-01
4.877509100866467273e-01,-4.365662286978779782e-01,4.308721359618628566e-01
-1.624122720237561879e-01,2.245335047757936464e-01,2.807302928544273546e-01
4.131005389930916261e-01,-3.643496062582626260e-01,3.529723161604303994e-01
-3.298171936054509201e-01,-1.685810058359440422e-01,1.346066520874778516e-01
2.392525560872985624e-01,6.871984990387618175e-02,6.732522700424746764e-01
4.792535666850110676e-01,-4.125105892261904939e-01,1.663803478677181868e-01
2.050129281470302045e-01,1.188481948042305891e-01,2.942196797982013501e-01
1.976935616935382445e-01,1.464354443954634655e-01,6.287766483428991471e-01
1.038871449371170375e-02,3.509726998960480127e-01,2.306219106247090270e-02
-4.186564148514969608e-01,-3.774489077207573429e-01,5.468673898326564808e-01
-1.141573187447449955e-01,3.177529931570983179e-01,1.026564271151608754e-01
5.825879408332368392e-02,3.333778591068438102e-01,1.654147831626867904e-01
-3.388824090709852133e-01,-2.563255174417524707e-01,1.406251003060847715e-01
4.273734448776674855e-01,-3.994280026296301855e-01,5.456808544234920122e-02
-7.662208381682178437e-02,3.069091447684040852e-01,3.739687599282299213e-01
2.723176384580717757e-01,-9.249993172999390612e-02,3.037825595414991864e-01
-9.282869797264703404e-02,2.846558531937806169e-01,3.647401859436668059e-01
5.736750955607938796e-02,3.663472759539750934e-01,6.362624614488959773e-01
-3.798692053448338157e-02,4.364947791410437317e-01,3.655640823577142595e-01
1.822884227268916080e-01,1.577114992244318670e-01,4.210031590200233875e-01
-2.700321558648820508e-01,-1.542979220185709127e-02,5.091309677260562605e-01
-2.913563281076545497e-01,-8.836771800996472137e-02,6.771584850923133558e-01
3.760955283362826806e-01,-3.343052641254756208e-01,5.098740409449484812e-01
-1.290588232213063513e-01,3.197032022496947290e-01,5.703263663533366667e-01
1.943464952227792475e-01,1.139745345242521857e-01,5.438798129677144821e-01
-5.466806057799367125e-03,4.265227405713049036e-01,3.809427320081019697e-01
-2.043399401412099303e-01,1.116432495348716469e-01,2.105119562486728602e-01
-4.358657348982112323e-01,-3.969336802420049271e-01,6.215870637272811194e-01
1.984296671993902583e-01,9.391762665186723091e-02,4.847121434181923538e-01
-7.520356381083381780e-02,4.008669263036395147e-01,4.965262054203111730e-01
-4.884189733861913352e-01,-4.246665500056348574e-01,7.512868202743305801e-02
3.204443738654775276e-01,-2.093301929424659369e-01,6.482392755789684324e-01
3.420934933160167946e-01,-1.731993686538171040e-01,6.778901228973380766e-01
4.267700456166561018e-01,-4.003637619404997183e-01,1.118487199299171286e-01
1.002572109528716560e-01,3.425763000458609264e-01,4.153166316599207208e-01
-2.111996441501159394e-01,6.591871377197494608e-02,5.219171799289259450e-01
1.887375734506598901e-01,1.675717760198850714e-01,5.067035397892196702e-01
3.237013889649107412e-01,-2.186022890260949647e-01,5.630288417454405447e-01
-2.149739485684333262e-01,3.998069305182007371e-02,3.541196564042761175e-01
-1.070958111090711817e-01,2.986735494998179474e-01,5.349513600862477319e-02
-2.201455329358100732e-01,5.046290580719443863e-02,2.115085872526160926e-01
-2.530113904480348896e-01,3.341734008303377801e-02,5.326662476270523916e-01
-2.051104823610552241e-01,1.408893297095137054e-01,4.471388139217410407e-01
4.492342118926340166e-02,4.002361802548957681e-01,5.682681980108476028e-01
-1.620387076110683111e-01,1.938321824454959375e-01,3.969502266647390032e-01
-1.612015371495882921e-01,2.602841909262401110e-01,2.007134966530604026e-01
-3.571515088600816235e-01,-2.540596451412682200e-01,3.267743834849457657e-02
2.943263514915331891e-01,-9.441881059361664774e-02,5.363409641049570187e-01
5.653154179810171431e-02,4.127444296081547170e-01,5.852970287098098190e-01
-1.365779935285571511e-01,2.247916694725889397e-01,5.930239547931432931e-01
-4.462676783530763469e-01,-3.929937360781203814e-01,2.713463653035782519e-01
2.996073587393843773e-02,3.883775368835301056e-01,3.102863195577535982e-01
-3.666137425044924125e-02,3.741605512309847392e-01,5.182116120449197227e-01
2.082804379444478382e-01,5.872539666820285331e-02,2.476577093585732026e-01
-1.234495013863277091e-01,2.594117571862017968e-01,1.509301244577809613e-03
3.929824227282776583e-01,-3.258856476328780283e-01,1.916702304526988754e-01
-2.596083584917034948e-01,1.637046056709670627e-02,5.249338647283440240e-01
4.970109334848776816e-01,-4.088007349426145964e-01,1.722274917413018636e-01
2.837848115967112061e-01,-5.555878874039560378e-02,2.420717919992071421e-01
-3.277149476790378602e-01,-1.467929237492549555e-01,2.548723968553444075e-01
-2.926685748567607881e-01,-1.346615860559386979e-01,2.836068296818456957e-01
-3.075084721517734598e-01,-1.259601183950159187e-01,5.116778095828326822e-02
3.508886472610768248e-01,-2.633480915628833019e-01,4.989078481635834117e-01
-4.961478954586107104e-01,-4.138227031780786214e-01,4.307161211681553303e-01
-5.970843429019778714e-02,3.709709625971051583e-01,5.265267680257918609e-02
-4.331002769361761429e-01,-3.535842695982981954e-01,9.381995429517678287e-02
1.329208121049211266e-01,2.594668550970901655e-01,3.591449091195148685e-02
-3.488046001193194634e-01,-1.992519070305508455e-01,3.139111116476758778e-01
-4.429542355284499244e-01,-3.919031404190490009e-01,1.597505236245660709e-01
-3.502057034995679219e-01,-2.073353823960988329e-01,4.565849068883333639e-01
2.506041207820034478e-01,-2.269065774528659235e-02,3.838228318577271980e-01
-2.347132500506703412e-01,6.016613712972949946e-02,3.501984141736589340e-01
2.853742678136879096e-01,-4.317953855940875885e-02,7.316677662443876740e-02
1.856213685839614991e-01,2.044322206663992114e-01,5.427129250793429893e-01
2.364014504754926582e-01,4.990691376281283786e-02,6.290459562769156188e-01
3.653170208547992237e-01,-2.521330677979509716e-01,2.245752124314939063e-02
4.205465961213504800e-01,-3.841764607728734293e-01,1.963572570101728976e-01
4.660866254655985363e-01,-3.832169721700273146e-01,6.318548475991806468e-01
3.182011031226855691e-01,-2.032323613811028717e-01,6.223868185298809808e-01
3.447425195575970491e-01,-2.341871927374981899e-01,6.997709799102119765e-01
3.370287236320697044e-01,-1.650957595653232690e-01,1.577306594466224565e-01
4.531366983377994595e-01,-3.933279209510014973e-01,5.677931346833005044e-01
-2.328584264980076979e-01,7.171330288913597972e-03,5.468420788782533126e-01
-3.973283193925750689e-01,-3.005797557062108716e-01,6.322934235307978712e-01
8.631175342232078052e-02,3.581747607981099479e-01,9.996426888116419218e-02
-2.603688870150755452e-01,-3.187817109879961808e-03,2.604173117511016655e-01
1.891595647381230094e-01,1.926184483739982745e-01,4.941653362135774441e-01
3.979554381894686577e-01,-2.805224835403708483e-01,5.070423599434630280e-01
-2.345466221123255757e-01,1.393526258665735151e-02,4.195752098890855736e-02
3.772253191912828818e-01,-3.256494089152293658e-01,5.000573435609529938e-01
-4.378117146826403516e-01,-4.013660234904362634e-01,5.634089801033828060e-01
5.298007081687472475e-02,3.496850819197215854e-01,5.033811430973599288e-01
4.770760949864805145e-01,-3.841662165072461943e-01,2.033560326740676549e-01
-2.710634026323115453e-01,-5.609365627518780179e-02,1.683157237197741574e-01
-4.189577706739596730e-01,-3.988888677912936775e-01,6.159480548867354299e-01
-3.086330807989979830e-01,-1.617762259853685047e-01,6.217800597125912043e-01
6.120918095081528953e-02,3.482200776679726939e-01,1.768959806257124623e-01
-8.472998417930655002e-02,3.859052463186214421e-01,2.280703437172856562e-01
-2.198586811206955094e-01,7.476514499479960940e-02,3.354151143377453459e-01
3.327893314734435837e-01,-2.434854104241392092e-01,5.846172708840634280e-02
-3.690831168405467322e-01,-2.721412889897814602e-01,1.497087154012723131e-01
5.193829598660293367e-02,3.734176822752760527e-01,5.330603588503136647e-01
-4.038760688025307966e-01,-3.229361534199216566e-01,3.508218686415214282e-01
-4.665687277289687351e-02,3.831384948090815756e-01,4.759772184703352227e-02
4.353877378175896595e-02,3.416120348383845373e-01,2.436610565628592739e-01
-3.454363766809208647e-01,-2.203425862855461770e-01,2.076460938454507688e-01
7.059798708359399377e-02,3.536213096792464872e-01,1.129291500204291920e-01
9.808460131105156687e-02,3.076519981348123101e-01,6.651763774162934295e-01
-2.599603122991636095e-01,-2.153503561941320574e-02,6.328577351693873698e-01
-2.124063808459892844e-01,5.343718330591379351e-02,6.623470509214347546e-01
3.965455006820761685e-01,-2.811400360220082106e-01,3.401972980559771487e-01
-3.653498207237804163e-01,-3.054833239789110921e-01,1.662035323909016038e-01
-8.578189906115785135e-02,3.214081104976665992e-01,6.675344027946082948e-01
-2.231023591858257715e-01,2.639691955504983034e-02,4.298949712196270534e-01
-1.304124520433558310e-01,3.151558120947053898e-01,2.991855446473442592e-01
-3.185331946037842643e-01,-2.037029398600273267e-01,6.566202700229636369e-01
4.338372226103472951e-01,-4.059703122841935574e-01,4.119909785382042666e-01
3.212064651492416711e-01,-1.976037709630220907e-01,2.268891865004483976e-01
4.095487602396968851e-01,-3.213041063543065068e-01,4.370913439516980747e-01
9.965933333357601676e-02,3.031722630147751230e-01,1.712510613037805662e-01
-1.600473940944447948e-01,1.776201082326600289e-01,2.410852378912410263e-02
1.238433475399249861e-01,2.947927310991794725e-01,4.748025515067269553e-01
-1.832031752321594542e-02,3.816090737571231628e-01,2.574042342386486104e-01
-2.831349303029866427e-01,-1.294691939206107090e-01,2.843065650257327048e-01
-2.810773747959132152e-01,-7.967600479213227116e-02,5.826033254776012693e-02
1.578084738450802327e-02,3.538705375983536294e-01,6.217235572485836359e-01
4.179636224530259847e-01,-3.775705525624490910e-01,6.527802088028185346e-02
-2.145575978044186316e-01,8.236223864771850811e-02,3.044953410878669109e-01
-1.377708173918982260e-01,2.771041876670715665e-01,1.588899927357496633e-01
-1.543216175904437160e-01,2.323100449878421903e-01,5.833746023884417431e-01
-1.323612964972740169e-01,3.175823289123869131e-01,5.116393280690736400e-01
4.060241457659810038e-01,-2.911787723377913251e-01,4.490395279072274537e-01
1.340665296098263459e-01,2.753020840715568740e-01,1.597120730407264877e-01
-6.559470437114800490e-03,3.796053202678401073e-01,1.381273031312008626e-01
3.842827541667949154e-01,-3.089023196280443195e-01,2.004304004169367714e-01
1.141726965920599746e-01,2.845933487425186814e-01,5.163242468887159209e-01
3.540493090002145848e-01,-2.695722103193946007e-01,3.954596791975779624e-01
1.414249355865316859e-01,2.726754583216012273e-01,3.104474242903343395e-01
-1.898619952534493782e-01,1.380767568587960015e-01,2.947020999477542036e-01
6.704032166323026232e-02,3.581516310836264094e-01,8.022557263917162035e-03
-1.565414940484353146e-01,2.283676036024763212e-01,3.260990224297086737e-01
-1.292622663321075782e-01,2.869047035029750892e-01,4.679052749015037427e-01
2.052199591426181469e-01,1.524890600572089139e-01,4.849166911746604081e-01
-3.964155761667909061e-01,-3.631035867869056855e-01,5.690243363172653446e-01
-1.490567524497843355e-01,2.652553988653422734e-01,1.869725635969941568e-01
-1.689899169564563763e-01,1.735717424415982868e-01,1.161701000534849509e-01
-2.865954759990304579e-01,-1.069953418078815888e-01,6.572220062114005890e-01
-3.503429559965061113e-01,-2.700212405148524897e-01,1.750056647796512099e-01
-1.082419836477144237e-02,4.286653815059567330e-01,4.477838085731637441e-01
-6.274801872539814696e-03,4.469941402522326079e-01,5.400793429537615875e-01
4.739279041092691047e-01,-4.407095969067958419e-01,4.196665702638199269e-01
1.388159707224794204e-01,2.870449595745578897e-01,4.541126465826363923e-01
-4.629422074064182269e-01,-4.225153802864314856e-01,2.240339549152149667e-01
2.193094785979832206e-02,3.566931568964100130e-01,4.398120403711145987e-01
4.918458013660165218e-01,-4.481171759582687208e-01,4.903761444165705141e-01
-2.652848455652869752e-01,-3.846666281535286724e-02,4.334002402303330226e-01
-3.189115184596658104e-02,4.045583992414849561e-01,2.011895850116303952e-01
-7.006630942464653344e-02,3.983672841210804116e-01,4.363728868871681321e-01
-4.452222854502012606e-01,-3.603877177651341746e-01,6.439283395015338307e-02
4.402330806306884448e-01,-3.656330460605494159e-01,3.375063358162915805e-01
3.915135764041935973e-01,-2.643054965540974077e-01,5.854040994844588175e-01
-1.452304955838323863e-02,4.452453995105883910e-01,1.548641844954558033e-01
-2.990342320689127753e-01,-1.571343275109581827e-01,2.353726158021781367e-01
-2.345944661939994846e-01,3.148435511491287642e-02,5.587004911623466574e-01
3.068347714646173507e-01,-1.822719903631731253e-01,6.114618406446276078e-01
-9.984032803608533513e-02,3.331002750830634462e-01,9.938507224146141128e-02
-4.722548912410574617e-01,-3.605013667359299179e-01,5.195591896808241517e-01
-2.280972062564292635e-01,7.552951346959965728e-02,8.485843091114551873e-02
-4.832941282619995782e-01,-3.981528337681852214e-01,6.978806826359439386e-01
-1.546632599221968718e-01,2.518515438001734941e-01,3.600194819701909577e-01
3.954796430717371081e-01,-3.200079509730245353e-01,3.035518056293595168e-01
-2.762872087249657049e-01,-4.684880331981300383e-02,4.378099328848837346e-01
2.418124562999390825e-02,3.654502653614893348e-01,2.025050487368929286e-01
2.106525130699932191e-01,7.935110225966879316e-02,4.378855437910431636e-01
